,rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
13529,5,The classic $10 Casio,"Used to wear these in high school. Trying to ween myself off the smart phone so I figured I'd get a dumb watch. Hasn't changed in 20 years. Does not receive phone calls, emails, twitter notifications or text messages. May require charging every few years. I'm feeling very zen.",[],B000GAWSDG,B09TXZHKLG,AFQTM5FYSJGGSBJIMTZYAIZZX2MQ,2018-07-11 07:42:02.535,0,True
13632,5,$6. Perfect.,It's a tiny little watch that is used during work that may damage a nicer watch.  $6.  How can you go wrong?,[],B000GAWSDG,B09TXZHKLG,AEVWWSVKI7QCUJEQ3ZY7TVKCMKYA,2017-07-18 18:38:20.193,0,True
13642,5,This Digital Is a Delight,"Here is an inexpensive watch that will keep better time than those show-pieces using an outdated technology costing thousands of dollars more than this Casio. In addition all such digital watches have features like stop-watch capability, timers, calendars, etc. I have not checked exactly what extras these watches have because I was only interested in their time-keeping abilities. To learn more about its capability read the Amazon  description.",[],B000GAWSDG,B09TXZHKLG,AGZ53W4KSLCVMCFNM6BDIAT5DT3A,2015-03-16 01:42:35.000,0,True
13852,4,Good for the price,As expected. Good for the price.,[],B000GAWSDG,B09TXZHKLG,AFPM2ZI2C7DVGXIF3PVKQQ3S33TA,2018-06-10 21:49:51.480,0,True
13862,5,Very water resistant!,"Absolutely love this watch. I work 40 hrs/week on the beach and this watch is exposed to salt water, sand, etc. and it holds up perfectly. I bought this watch about a week ago and I haven't had to change the battery or mess with any time setting whatsoever. Not only is the watch sleek, and has all the functionality I want, but it's also incredibly affordable.<br /><br />I swim in the ocean/pool with this watch all the time and I have never had any issues with it. The water resistance is quite good.<br /><br />The only complaint I have about this product is that the &#34;Light&#34; you can turn on is very dim and not very efficient in illuminating the time at night or in the early morning. However, the other features of the watch make up for this flaw.",[],B000GAWSDG,B09TXZHKLG,AHFILYCF445JMDUVD5SFT7CO2ZNQ,2016-06-30 02:46:01.000,2,True
13905,5,Love them!,I couldn't pass up the deal and bought 3 of these for my kids to learn how to tell time! Great investment for the little ones!,[],B000GAWSDG,B09TXZHKLG,AEQQJGHLGRBHIBWSCG6VWYT5YDIQ,2021-02-04 13:34:45.024,0,True
14380,5,Five Stars,Good watch for the price.  Got it as a gift for my fiance's little brother.  He loved it!,[],B000GAWSDG,B09TXZHKLG,AHSXY2RE3D43XV3NAQXJFZ3FEFMQ,2017-08-20 05:01:34.157,0,True
14586,5,This watch lasts!,"A fan of Casio for years, I thought this watch would be good for ""everyday wearing.""  I was right - it's durable (like a tank!), easy to read, lightweight, and can take some bumps.  It keeps time well, the functions all function, and I like the look of it.  Great price, and quick shipping too!",[],B000GAWSDG,B09TXZHKLG,AHZAMCQPDRULSR64PRS76ZOWLAPA,2020-09-01 22:57:05.497,0,True
16122,5,"Classic, a watch for the masses",Love it!! Wear it all the time!,[],B000GAWSDG,B09TXZHKLG,AHERPRSE7FB3A67TXUN7CIJPC5CA,2020-01-08 01:25:27.151,0,True
16271,5,Classic cool,Such a great watch. Classic 80s cool. Has everything i need. Lightweight and easy to wear.,[],B000GAWSDG,B09TXZHKLG,AGWWI5RG62SXX4R7GF3YVNVHG6VQ,2021-07-26 03:28:36.432,0,True
16828,3,Very Small,"This is a child's watch or perhaps suitable for a petite woman. Even so, the display is tiny. If that is what you want, the watch functions well. If you want and easy to read display in a watch that has a band adequate for a man's wrist, try another Casio",[],B000GAWSDG,B09TXZHKLG,AHL5QYL4JQ46YNFSQZJNI7ELMVCA,2022-05-29 16:07:58.946,0,True
19011,5,Five Stars,Nice and sleek men's watch. Could be used for dress as well as sports.,[],B000GAWSDG,B09TXZHKLG,AHVLWIR6BMZNWX2KUOEYG5PXMLWQ,2014-09-21 15:18:20.000,0,True
19122,5,Good old standby,"When it comes to technology, I am a utilitarian.  In other words, I don't want to spend money on a bunch of features that I don't really need.  I remember wearing a watch just like this as a kid during the 1980s, and it served its purpose just fine.  It also lasted a long, long time.  So when I needed a cheap watch to wear while exercising, I decided to buy the same kind that worked for me all those years ago.<br /><br />What you get here is a durable and tough watch that will tell you what time it is and beep when it's time to wake up.  It'll also work underwater.  That's about all it does.  If this set of features is what you want, this watch is probably the absolute best value available.<br /><br />If you like no-frills, plain-and-simple-tried-and-true products, sporting a watch like this is a good way to show it!",[],B000GAWSDG,B09TXZHKLG,AF3IOOV3BLZ3M73YEDQN4DTWEUEA,2013-12-05 18:32:57.000,0,False
20277,3,Eh,"Tiny size aside, the backlight is a joke.",[],B01MZF6LL2,B09TXZHKLG,AFU25QR3IRQ2J6XY6LIRRZSMXNMA,2019-03-15 01:02:26.817,0,True
21583,5,Five Stars,Great product and delivered on a timely basis.,[],B000GAWSDG,B09TXZHKLG,AHJ6PUCH6CX5DRIMEJJFANEVBERQ,2018-03-08 23:01:48.650,0,True
22464,5,Thin and beautiful. LCD lies very close to the cover glass ...,Thin and beautiful. LCD lies very close to the cover glass (or is it plastic?). This gives much clean view of the time. It is so thin that it goes underneath the sleeve well.<br /><br />2 negatives<br />1. Way to small for a man. It’s cute and clean but really tiny. It causes squinting.<br /><br />2. Very Light indeed. But the strap does not bend around the wrist so you are always conscious of the fact that there is something on your wrist. Beats the purpose of being a light watch. This will bother you. I guess I can change the strap but not for now.,"[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61sJX9n9laL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61sJX9n9laL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61sJX9n9laL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61zBTf6BZGL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61zBTf6BZGL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61zBTf6BZGL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B000GAWSDG,B09TXZHKLG,AGYYIZOXAQJQIWOKENX6R3625KFA,2017-11-01 20:27:01.689,1,True
22468,4,It works,"Basic watch, not bad for the price. Described accurately. I like it.",[],B01MZF6LL2,B09TXZHKLG,AFBICPP7NCI47WD4GEXDLE75RKZQ,2020-05-15 17:37:52.928,1,True
22786,5,Just a simple watch.,"It looks nice, I wear it when I'm hiking so that I don't mess up any of my nicer watches. It's got a little light on it and a stopwatch and alarm. It keeps time very accurately and I've never had to reset it so far!",[],B000GAWSDG,B09TXZHKLG,AGNQTCJJMSKH7TH5AA5TFUERKZDQ,2013-10-18 18:47:12.000,0,True
22838,4,True Classic,"It is a true classic.  It is exactly what it has always been.  If you want a nostalgic digital watch, this is the one!  Beware it has a small display and is not a large watch, it always had a small display and was never a large watch.",[],B000GAWSDG,B09TXZHKLG,AH3L6GB6Q2NN5IKYNLABSXVGMJJA,2018-11-04 02:49:11.355,0,True
22896,2,The band is terrible,"The band is not designed to close in the middle of your wrist. Instead, at least in what I received, it sticks out almost on the side of your arm. It's uncomfortable and gets caught on things. This band makes it unwearable, even though the watch itself is great. I have the &#34;steel&#34; version of this watch, and that version closes where it should in the middle of your wrist.",[],B000GAWSDG,B09TXZHKLG,AELBYNH3GUWR3YGSJUZOJVBJI7RQ,2016-03-07 21:07:57.000,1,True
23374,5,Great watch for the money.,"First, the bad news. The ""light"" does no good at all, but that isn't a deal-breaker for me. Other than that, it is a great, simple, watch with clean lines and low profile, which does not take up my whole wrist. I like it.",[],B000GAWSDG,B09TXZHKLG,AFTJODT7SX2MORXV2FOBT4V44G3Q,2023-02-01 18:16:17.092,0,True
23381,5,Love this watch,Love this watch! Brought back lots of childhood memories! I use it daily... don't have to say no more.,[],B000GAWSDG,B09TXZHKLG,AFB2YWT2WZI75UHJK4M4F645UKMA,2016-10-26 02:12:30.000,0,False
24350,5,Buena calidad,"Este reloj superó mis expectativas, buena relación calidad/precio",[],B000GAWSDG,B09TXZHKLG,AGOVNYIPXEZ2D6KG2WV3VWW2NEHA,2022-10-01 18:22:22.715,0,True
24379,5,Fit and nice quality!,very comfy and light! quick delivery and nice service!,"[{'small_image_url': 'https://m.media-amazon.com/images/I/61C3TlJIA1L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61C3TlJIA1L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61C3TlJIA1L._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B086RNZX13,B09TXZHKLG,AEHHCUE7XRHKMQXQUKHW6QHZ2VBQ,2022-07-08 17:29:33.299,0,True
26124,2,Got crazy after a month!,"Nice watch. But it went crazy displaying the numbers in a weird motion. Did take it to a jewelry and the guy told my the chip on i ws faulty.<br />Even tho it went displaying the numbers really fast, the battery seems it did not care about as it is still running.<br />😃",[],B000GAWSDG,B09TXZHKLG,AHLQVBFIQPXWHFXJQGPDEGTQHUUA,2017-04-07 03:31:50.000,0,True
26739,5,Five Stars,Great watch for play and work. Durable.,[],B000GAWSDG,B09TXZHKLG,AHICCPH77VJLSJPJOUD626Z66Y4A,2015-12-04 06:40:26.000,0,True
26895,5,I also wanted a watch that I could easily replace (financially,"This is my duty watch that I wear while firefighting.<br /><br />Its low profile, accuracy, and simplicity make it an incredible asset. I also wanted a watch that I could easily replace (financially, and availability wise)<br />It holds up well to harsh chemicals, and heavy impacts that have broken more expensive watches.<br /><br />I will wear this watch until I break it, and then buy another one.",[],B000GAWSDG,B09TXZHKLG,AGWMKT2ZGO5CMOSJE57M2G3ATJXQ,2016-01-28 21:27:28.000,0,True
27235,3,Three Stars,nice but not packaged well - hard to give as a gift in the cheap paper package.,[],B000GAWSDG,B09TXZHKLG,AHE37PXQ2YUTDUDSCFQJADKXPGHQ,2014-11-24 19:55:30.000,1,True
29377,4,Four Stars,Our 9 year old grandson likes it very much.,[],B000GAWSDG,B09TXZHKLG,AE4WNZBCEVA3EXBG2H33AQ2FG7PQ,2018-07-30 20:14:40.875,0,True
29665,5,yes,It's a watch.  It keeps time.,[],B000GAWSDG,B09TXZHKLG,AHUIKUKWCEZOGORCMCMCIA2Q6RIQ,2018-01-10 21:30:07.865,0,True
30337,5,Duradero y bueno,Excelente,[],B000GAWSDG,B09TXZHKLG,AGX6V4NWUPK3GSC2UUSZDQINTFBA,2019-01-14 21:31:34.828,0,True
30855,2,"okay, but limitations","My regular  watch needs a new battery.  Try and find an open jeweler.<br />So I ordered this as a temporary replacement.<br />No problem  with the watch,  but the band is made for a child. A normal size adult male will find it a little  tight. They should add an extra inch or so to the band.",[],B000GAWSDG,B09TXZHKLG,AEECFEPHHVN2RJ2NTLCZDZ7S7I7A,2020-05-18 15:48:18.130,0,True
31323,4,A Sensible Watch at a Good Price,It's good value. Smaller than I expected. No frills but does everything I need.,[],B000GAWSDG,B09TXZHKLG,AH2P4QUUKIFZGS6ABSFEAF3TRZTA,2015-05-17 17:13:23.000,0,True
34322,5,Five Stars,super cool watch!!! Looks nice and simple I recommend,"[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/716-I-stsqL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/716-I-stsqL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/716-I-stsqL.jpg', 'attachment_type': 'IMAGE'}]",B000GAWSDG,B09TXZHKLG,AF4STK37Q6LOJBZZZY5UAY52WUXQ,2016-10-31 19:18:51.000,1,True
34673,5,Casio rules,Best budget quartz out there.,[],B000GAWSDG,B09TXZHKLG,AFNWQHUQVV6YUN4S3ANRLS5HA4SA,2018-10-31 19:56:10.081,0,True
34880,4,Strap on the small size.,"Strap shatter than i remember when I wore it in middle school... now it’s a tad too tight, but the whole thing is so light you don’t feel it.",[],B000GAWSDG,B09TXZHKLG,AHEJTYXI2WCGDZAQOZHDKQZ3M34Q,2021-06-06 02:50:01.299,0,True
35878,4,The light is worthless,Only issue I have is the light barely illuminates the upper left ( looking at it) corner.. Have no idea about its water rating but other Casio watches I've had were great... The watchface is small great for a child... Easy to read but small font,[],B000GAWSDG,B09TXZHKLG,AF5RX6KOUA2HUCOINZ2VNGTACWBQ,2022-11-15 20:40:14.183,0,True
36164,2,Bad quality,Felt from my bed and broke instantly. My laptop survived to worst accidents.,[],B01N7XKNSX,B09TXZHKLG,AEIMTA3PZ4W435DCDWDN6V3N5F7Q,2019-11-12 05:05:17.898,0,True
36212,5,A simple wrist watch - that is all I needed,"I just wear the watch for the gym so I was looking for an inexpensive one that I wouldn't mind having scratches and wear/tear on. This is a simple watch which suited my needs perfectly. The only annoying thing is when you cycle through the mode (time, alarm, stopper), it enters the reset time mode. Also, each time you press a button it beeps.<br />It doesn't have a timer or an alternate time mode which is just fine with me.",[],B000GAWSDG,B09TXZHKLG,AEGPZLBUMOUHIQBFMUPZR7HAPMVQ,2012-11-30 15:04:00.000,0,True
36274,2,Night light a failure,Bought this for built in light. The light is not bright enough for my 66 yr old eyes to see at night.,[],B000GAWSDG,B09TXZHKLG,AH73NDENTIRNXLB5YQ2WDAM5EG7A,2021-04-07 20:50:44.939,0,True
36316,1,Obviously intended for child rather than an adult,"All of these cheap watches have pretty much the same internals, and this is no exception. I tend to replace them when the band breaks, which in this case figures to be about a week. The band is tiny, barely fits around my wrist and so thin and flimsy, it stands little chance of surviving for any length of time. Package arrived in an envelope with the box and plastic stand the watch ships on both smashed. I buy cheap plastic watches because my arm gets banged around a lot. Never got one this flimsy, though. Obviously intended for a 4 year old to play with for a couple of days before he loses it. Bave owned a lot of Casio watches over the years, but never got one this unlikely to survive. Don't buy this product. Decided to buy a different watch from a different seller via prime. Should be here in a couple of days. Need a watch so, I'll hold on to this until the one I ordered today arrives and return this one if it's not too complicated from out here in the boondocks which it frequently is.",[],B000GAWSDG,B09TXZHKLG,AGWL4Q363XLRCEXKJBYXEZYUP7PA,2019-03-11 18:42:48.583,31,True
36482,4,Almost a 5 Star watch,"The only reason I didn't give this 5 stars is the light. They used to light up the entire back but now the light is on the left only half the screen gets lit up. Other than that, good functional watch.",[],B000GAWSDG,B09TXZHKLG,AEOLS2KQZT45KLH2UNO4G4X5Z4QQ,2019-06-20 19:57:43.329,0,True
37055,4,I like it but its not for me it is a gift,"I plan to give this as a HS grad gift to a young sports enthusiast. It is attractive, and  affordable so I am hoping it will  be well received.",[],B000GAWSDG,B09TXZHKLG,AEUT7HYELDIZ3JZTLSGUIKQ3NRDA,2014-05-30 03:14:00.000,0,True
38835,5,perfect - especially for the price.,LOVE THIS WATCH. Bought it for a month of backpacking and now wear it at home because its so simple and light and great.,[],B000GAWSDG,B09TXZHKLG,AHZZNR5FSD5ODQYVFCWFNLHGX55Q,2016-07-28 00:57:11.000,1,True
38871,5,LOVE it,"LOVE LOVE LOVE this watch. Great buy, especially for the price :)",[],B000GAWSDG,B09TXZHKLG,AFCUIVGHEC2ZVLCHWICQHEE2L3VQ,2014-08-27 03:00:50.000,0,False
39170,5,Great for US Military,"I purchased this watch because I've been eyeing this (and it's metal/chrome counterpart) for years now.  This is all of the information I needed on a smartwatch screen.  After my last apple watch bit the dust, I decided to go for an old-fashioned wristwatch.  I am also joining the US Navy and needed a black wristwatch with an alarm - they sell them at basic, but I want to already be familiar with my watch beforehand.  This fit the bill perfectly.<br /><br />For $10, this thing is amazing.  Setting it is a breeze.  You program the month into the watch so it knows how many days there are, so you don't have to reset it monthly like many mechanical watches that show the date.  So you literally just set everything once and you're set.<br /><br />I love how light it is - I'll probably end up sleeping with this thing on.  I am a tall guy and the face is a bit small, however the information is clearly present and easy to see.<br /><br />My only complaint is the light.  It lights up the left side of the screen, but the 1/3 in the middle and 1/3 to the right are still pretty dark.  I can use the light and see the info okay in the dark, so it does serve its purpose.  It could be better though, but this is where I'm like ""I paid $10 for this thing"", so over all not an issue.<br /><br />DEFINITELY recommended.  May not be pretty, but I've always been a ""function over fashion"" sort of person, and this watch is amazing.<br /><br />Highly recommend, especially if you need something for military service.",[],B000GAWSDG,B09TXZHKLG,AHGUGWO57HSW4I3UHD24FVTCQUDQ,2020-12-03 17:41:08.431,0,True
39270,5,"It's a great watch, and it does the one job really wear","I love this watch. It's does basic digital watch functions really well. This is a watch that I wear every day to track time and occasionally use stopwatch function during workout. If you are looking for something simple , this a watch for you. If you want a watch for style and coolness, then, this is not a watch for you.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71O5jRrhIOL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71O5jRrhIOL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71O5jRrhIOL.jpg', 'attachment_type': 'IMAGE'}]",B000GAWSDG,B09TXZHKLG,AGSL4ZHETLIA5SOOL4RP6EUAKN5A,2019-12-04 21:35:34.557,0,True
39286,5,Watch is sturdy,"Wore this watch for about 6 months straight in very dirty, sunny conditions and it held up really well to the stresses of athletic use. Would buy again!",[],B000GAWSDG,B09TXZHKLG,AF37X74FK2535KXVZN4YJNTC4JGQ,2020-07-13 07:25:16.248,0,True
39430,4,⏱️Love it 🤍,"I can put down my other spying 🕵🏽‍♀️ ⌚️watch now. ⌚️simplicity is the way to go now. As long as it can give me the time and it goes with my outfit.<br /><br /> 🤍 Love the silver, clear and white on this watch. Easy to set also. So far it’s accurate… unlike the cheap one I bought on Shein.<br /><br />((Update)) The band is little rigid, and keeps on shifting on my wrist. 🤷🏽‍♀️","[{'small_image_url': 'https://m.media-amazon.com/images/I/61+cASYqSlL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61+cASYqSlL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61+cASYqSlL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/7156EiogG3L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/7156EiogG3L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/7156EiogG3L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71oeDHcfNzL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71oeDHcfNzL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71oeDHcfNzL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B086RNZX13,B09TXZHKLG,AHQI5TF4XEKIMTS6527EODC5M7PA,2023-01-11 00:45:53.478,1,True
39648,5,I would definitely buy this watch,"Great first watch for a kid or regular watch for an adult.  Easy to set, easy to read.  I would definitely buy it again.",[],B000GAWSDG,B09TXZHKLG,AH777BODKTWXWOIECB5FWP75LYXA,2015-01-06 04:03:40.000,0,True
39788,1,Garbage,Broke after less than 3 weeks of use.,[],B000GAWSDG,B09TXZHKLG,AG6CRLLOL3FOZGOBABAAMVUTJQSQ,2016-05-07 16:40:36.000,0,False
40519,3,ok,short band good for kid,[],B000GAWSDG,B09TXZHKLG,AGTDUHNO4JROBXG5SDNHTUYOLZ5Q,2020-03-26 10:49:36.138,0,True
40923,5,GET A FLASHLIGHT AND AN ENLARGER TO READ THE TINY DIRECTIONS,"THE WATCH IS WELL MADE,BAND IS SUPER COMFORTABLE,MY ONLY PROBLEM IS WHY THE STARTUP DIRECTIONS<br />ARE SO TINY,NEEDS AN ENLARGEMENT BIG TIME.I WOULD LOVE TO TURN OFF A FEW FEATURES TO MAKE IT EASY TO MAINTAIN.<br />IF I KEEP THE TIME AND DATE CURRENT,THATS ALL I NEED.........",[],B000GAWSDG,B09TXZHKLG,AHRWZRUCFI4CULFYOGWDLEBV75VQ,2020-09-01 21:52:30.499,0,True
41553,5,Tasteful timepiece,"Love the classic Casio- timeless good looks on this tested timepiece. It’s very slim, no extra frills, gets the job done. The backlight is weak and only lights up one side. The strap is cheap and flimsy. Yet I still strap it on when I know I’m headed for trouble!",[],B000GAWSDG,B09TXZHKLG,AGFKGZNKOCUR5IRFOPYS2R35YMYA,2019-04-26 01:13:33.298,0,True
